Date,Location,Alert Type,Reason
2021-09-23,"Rio Grande, BR",⚠️ LOW UTILIZATION,8.00% storage occupied.
2022-09-24,"Sao Paulo, BR",🚨 HIGH UTILIZATION,72.00% storage occupied.
2022-08-26,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,82.00% storage occupied.
2022-12-15,"Karnataka, IN",⚠️ LOW UTILIZATION,14.00% storage occupied.
2021-06-09,"Sao Paulo, BR",🚨 HIGH UTILIZATION,94.00% storage occupied.
2024-01-04,"Karnataka, IN",🚨 HIGH UTILIZATION,73.00% storage occupied.
2022-01-14,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,21.00% storage occupied.
2021-07-27,"New York, US",⚠️ LOW UTILIZATION,20.00% storage occupied.
2023-01-14,"Sao Paulo, BR",🚨 HIGH UTILIZATION,81.00% storage occupied.
2023-11-27,"Karnataka, IN",🚨 HIGH UTILIZATION,89.00% storage occupied.
2023-09-10,"Maharashtra, IN",🚨 HIGH UTILIZATION,99.00% storage occupied.
2021-06-02,"Rotterdam, NL",🚨 HIGH UTILIZATION,86.00% storage occupied.
2021-12-17,"Sao Paulo, BR",🚨 HIGH UTILIZATION,84.00% storage occupied.
2021-03-26,"Rotterdam, NL",⚠️ LOW UTILIZATION,16.00% storage occupied.
2021-09-07,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,72.00% storage occupied.
2022-06-25,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,77.00% storage occupied.
2022-02-20,"Rotterdam, NL",🚨 HIGH UTILIZATION,85.00% storage occupied.
2022-02-27,"Maharashtra, IN",🚨 HIGH UTILIZATION,79.00% storage occupied.
2022-09-29,"Karnataka, IN",🚨 HIGH UTILIZATION,92.00% storage occupied.
2023-11-19,"New York, US",⚠️ LOW UTILIZATION,6.00% storage occupied.
2021-04-23,"New York, US",🚨 HIGH UTILIZATION,72.00% storage occupied.
2021-09-03,"Rio Grande, BR",🚨 HIGH UTILIZATION,78.00% storage occupied.
2023-08-03,"Maharashtra, IN",⚠️ LOW UTILIZATION,17.00% storage occupied.
2023-05-21,"Rio Grande, BR",🚨 HIGH UTILIZATION,79.00% storage occupied.
2024-06-12,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,0.00% storage occupied.
2022-11-06,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2024-04-02,"Maharashtra, IN",🚨 HIGH UTILIZATION,74.00% storage occupied.
2023-01-30,"Maharashtra, IN",🚨 HIGH UTILIZATION,91.00% storage occupied.
2022-06-23,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,81.00% storage occupied.
2024-05-19,"New York, US",🚨 HIGH UTILIZATION,97.00% storage occupied.
2024-02-07,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,11.00% storage occupied.
2021-05-15,"Rio Grande, BR",🚨 HIGH UTILIZATION,72.00% storage occupied.
2024-03-13,"Sao Paulo, BR",⚠️ LOW UTILIZATION,1.00% storage occupied.
2022-12-29,"Karnataka, IN",🚨 HIGH UTILIZATION,85.00% storage occupied.
2022-11-18,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,91.00% storage occupied.
2021-01-28,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,89.00% storage occupied.
2021-12-16,"New York, US",🚨 HIGH UTILIZATION,87.00% storage occupied.
2022-04-29,"Sao Paulo, BR",⚠️ LOW UTILIZATION,4.00% storage occupied.
2022-01-16,"New York, US",🚨 HIGH UTILIZATION,76.00% storage occupied.
2022-08-30,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,94.00% storage occupied.
2024-09-13,"Rio Grande, BR",⚠️ LOW UTILIZATION,0.00% storage occupied.
2021-10-05,"Rotterdam, NL",🚨 HIGH UTILIZATION,75.00% storage occupied.
2021-12-10,"New York, US",⚠️ LOW UTILIZATION,0.00% storage occupied.
2024-07-07,"Sao Paulo, BR",🚨 HIGH UTILIZATION,95.00% storage occupied.
2021-09-15,"Rio Grande, BR",⚠️ LOW UTILIZATION,1.00% storage occupied.
2023-12-28,"Karnataka, IN",⚠️ LOW UTILIZATION,12.00% storage occupied.
2023-02-09,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,77.00% storage occupied.
